@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
1/1987,906,23,716,23,0.0302,0.9397,0.0302
2/1987,759,27,565,26,0.0437,0.9143,0.0421
3/1987,875,29,715,21,0.0380,0.9347,0.0275
4/1987,800,31,650,8,0.0450,0.9434,0.0117
5/1987,803,38,648,16,0.0542,0.9231,0.0228
6/1987,737,34,595,16,0.0528,0.9225,0.0249
7/1987,733,39,588,15,0.0608,0.9159,0.0234
8/1987,797,42,650,21,0.0590,0.9117,0.0295
9/1987,778,34,642,11,0.0495,0.9345,0.0161
10/1987,894,20,748,8,0.0258,0.9640,0.0104
11/1987,817,32,646,20,0.0459,0.9256,0.0287
12/1987,747,12,622,15,0.0185,0.9584,0.0232
1/1988,780,19,637,22,0.0281,0.9396,0.0325
2/1988,797,59,604,24,0.0859,0.8792,0.0350
3/1988,804,39,618,23,0.0574,0.9089,0.0339
4/1988,757,39,603,18,0.0591,0.9137,0.0273
5/1988,819,44,656,28,0.0605,0.9011,0.0385
6/1988,769,52,610,25,0.0757,0.8880,0.0364
7/1988,735,39,576,22,0.0613,0.9043,0.0346
8/1988,772,32,617,30,0.0472,0.9087,0.0442
9/1988,989,69,726,41,0.0826,0.8685,0.0491
10/1988,880,25,733,29,0.0318,0.9314,0.0369
11/1988,753,27,603,10,0.0422,0.9422,0.0157
12/1988,724,15,605,4,0.0241,0.9696,0.0065
1/1989,798,21,641,20,0.0308,0.9399,0.0294
2/1989,696,32,556,28,0.0520,0.9026,0.0455
3/1989,801,20,671,20,0.0282,0.9438,0.0282
4/1989,778,41,628,21,0.0595,0.9102,0.0305
5/1989,748,28,628,13,0.0419,0.9388,0.0195
6/1989,699,46,547,24,0.0746,0.8866,0.0389
7/1989,712,41,547,25,0.0669,0.8924,0.0408
8/1989,747,28,610,20,0.0426,0.9271,0.0304
9/1989,760,29,610,15,0.0444,0.9328,0.0230
10/1989,852,20,676,25,0.0278,0.9376,0.0347
11/1989,730,27,579,16,0.0435,0.9309,0.0258
12/1989,726,21,584,6,0.0344,0.9559,0.0099
1/1990,770,15,614,22,0.0231,0.9432,0.0338
2/1990,690,15,559,18,0.0254,0.9443,0.0305
3/1990,818,44,649,19,0.0618,0.9116,0.0267
4/1990,773,33,638,13,0.0483,0.9328,0.0191
5/1990,739,30,599,17,0.0465,0.9273,0.0264
6/1990,717,30,574,16,0.0484,0.9259,0.0259
7/1990,764,52,613,20,0.0760,0.8949,0.0292
8/1990,702,31,566,22,0.0501,0.9144,0.0356
9/1990,788,25,635,17,0.0370,0.9380,0.0252
10/1990,793,31,640,27,0.0445,0.9170,0.0387
11/1990,736,31,584,17,0.0491,0.9241,0.0269
12/1990,746,15,623,9,0.0232,0.9630,0.0140
1/1991,754,19,646,21,0.0277,0.9417,0.0307
2/1991,684,23,556,22,0.0383,0.9252,0.0367
3/1991,812,35,668,21,0.0484,0.9227,0.0291
4/1991,875,36,705,12,0.0479,0.9363,0.0160
5/1991,844,18,690,22,0.0247,0.9453,0.0302
6/1991,791,42,603,17,0.0635,0.9109,0.0257
7/1991,790,60,599,22,0.0882,0.8796,0.0324
8/1991,805,39,620,33,0.0564,0.8960,0.0477
9/1991,803,27,649,19,0.0389,0.9339,0.0274
10/1991,842,20,691,26,0.0272,0.9376,0.0353
11/1991,766,30,645,13,0.0437,0.9375,0.0189
12/1991,799,16,675,17,0.0226,0.9534,0.0241
1/1992,820,29,669,27,0.0400,0.9228,0.0373
2/1992,848,84,639,46,0.1093,0.8310,0.0599
3/1992,799,21,666,20,0.0298,0.9421,0.0283
4/1992,761,23,644,16,0.0337,0.9429,0.0235
5/1992,765,30,639,19,0.0437,0.9288,0.0277
6/1992,774,55,621,23,0.0787,0.8885,0.0330
7/1992,850,73,658,27,0.0964,0.8681,0.0357
8/1992,804,51,623,32,0.0723,0.8825,0.0454
9/1992,692,31,589,11,0.0492,0.9335,0.0175
10/1992,760,26,659,11,0.0374,0.9469,0.0159
11/1992,776,35,645,15,0.0504,0.9281,0.0216
12/1992,755,18,636,16,0.0269,0.9493,0.0239
1/1993,790,32,665,18,0.0448,0.9301,0.0252
2/1993,722,44,587,19,0.0677,0.9031,0.0293
3/1993,791,33,667,14,0.0463,0.9342,0.0197
4/1993,725,27,613,11,0.0415,0.9417,0.0169
5/1993,745,37,612,21,0.0553,0.9135,0.0314
6/1993,726,32,605,18,0.0489,0.9237,0.0275
7/1993,713,44,577,22,0.0685,0.8974,0.0343
8/1993,765,31,631,29,0.0449,0.9132,0.0420
9/1993,749,34,631,18,0.0498,0.9239,0.0264
10/1993,856,21,741,19,0.0269,0.9488,0.0244
11/1993,757,38,614,23,0.0563,0.9097,0.0341
12/1993,789,25,671,14,0.0353,0.9451,0.0198
1/1994,774,62,622,28,0.0871,0.8736,0.0394
2/1994,821,113,593,45,0.1505,0.7897,0.0600
