@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
1/1987,1044,36,789,44,0.0415,0.9080,0.0507
2/1987,953,41,691,38,0.0533,0.8975,0.0494
3/1987,1096,50,812,45,0.0552,0.8953,0.0497
4/1987,975,30,734,35,0.0376,0.9187,0.0439
5/1987,1055,38,785,54,0.0434,0.8951,0.0616
6/1987,1005,27,754,51,0.0325,0.9063,0.0613
7/1987,1138,41,843,28,0.0450,0.9244,0.0308
8/1987,1057,48,769,32,0.0566,0.9058,0.0377
9/1987,1022,40,745,44,0.0483,0.8987,0.0531
10/1987,954,44,690,36,0.0572,0.8962,0.0468
11/1987,1015,41,735,38,0.0504,0.9030,0.0467
12/1987,1166,47,841,61,0.0496,0.8862,0.0643
1/1988,904,36,676,49,0.0474,0.8884,0.0644
2/1988,987,43,740,45,0.0520,0.8938,0.0544
3/1988,1005,42,710,30,0.0538,0.9080,0.0384
4/1988,972,45,694,38,0.0580,0.8932,0.0490
5/1988,1005,35,717,46,0.0439,0.8985,0.0577
6/1988,1012,52,720,33,0.0646,0.8945,0.0410
7/1988,923,34,659,46,0.0461,0.8918,0.0623
8/1988,934,36,659,53,0.0482,0.8811,0.0709
9/1988,1093,57,789,60,0.0630,0.8709,0.0663
10/1988,909,37,662,43,0.0499,0.8922,0.0580
11/1988,925,46,662,35,0.0620,0.8910,0.0472
12/1988,1077,51,767,53,0.0586,0.8806,0.0609
1/1989,922,36,675,44,0.0477,0.8941,0.0583
2/1989,881,29,671,31,0.0397,0.9180,0.0425
3/1989,962,47,705,36,0.0597,0.8947,0.0457
4/1989,995,46,728,50,0.0559,0.8835,0.0607
5/1989,1074,33,810,57,0.0367,0.9000,0.0634
6/1989,1061,53,762,57,0.0608,0.8739,0.0654
7/1989,873,33,636,44,0.0463,0.8921,0.0618
8/1989,964,39,649,36,0.0539,0.8965,0.0498
9/1989,918,44,661,42,0.0590,0.8849,0.0563
10/1989,921,23,687,47,0.0304,0.9076,0.0621
11/1989,1089,44,812,62,0.0480,0.8846,0.0676
12/1989,1311,60,957,69,0.0553,0.8813,0.0636
