@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
1/1987,20,4,5,1,0.4000,0.5000,0.1000
2/1987,21,2,7,1,0.2000,0.7000,0.1000
3/1987,25,2,6,3,0.1819,0.5455,0.2728
4/1987,26,3,9,0,0.2500,0.7500,0.0000
5/1987,36,4,11,2,0.2353,0.6471,0.1177
6/1987,25,5,6,1,0.4167,0.5000,0.0834
7/1987,26,3,10,1,0.2143,0.7143,0.0715
8/1987,31,5,10,0,0.3334,0.6667,0.0000
9/1987,30,2,15,3,0.1000,0.7500,0.1500
10/1987,19,3,7,0,0.3000,0.7000,0.0000
11/1987,25,4,7,2,0.3077,0.5385,0.1539
12/1987,30,3,13,2,0.1667,0.7223,0.1112
1/1988,29,5,6,4,0.3334,0.4000,0.2667
2/1988,22,2,8,2,0.1667,0.6667,0.1667
3/1988,25,3,7,2,0.2500,0.5834,0.1667
4/1988,23,1,11,1,0.0770,0.8462,0.0770
5/1988,27,2,6,2,0.2000,0.6000,0.2000
6/1988,23,1,6,0,0.1429,0.8572,0.0000
7/1988,21,1,8,0,0.1112,0.8889,0.0000
8/1988,23,2,5,0,0.2858,0.7143,0.0000
9/1988,26,0,9,1,0.0000,0.9000,0.1000
10/1988,20,4,10,1,0.2667,0.6667,0.0667
11/1988,22,2,7,3,0.1667,0.5834,0.2500
12/1988,22,1,11,2,0.0715,0.7858,0.1429
1/1989,20,1,7,2,0.1000,0.7000,0.2000
2/1989,15,2,4,1,0.2858,0.5715,0.1429
3/1989,31,3,7,3,0.2308,0.5385,0.2308
4/1989,32,2,8,4,0.1429,0.5715,0.2858
5/1989,37,4,12,4,0.2000,0.6000,0.2000
6/1989,26,4,7,1,0.3334,0.5834,0.0834
7/1989,28,2,5,4,0.1819,0.4546,0.3637
8/1989,27,3,8,0,0.2728,0.7273,0.0000
9/1989,26,4,8,2,0.2858,0.5715,0.1429
10/1989,34,3,9,1,0.2308,0.6924,0.0770
11/1989,26,2,8,1,0.1819,0.7273,0.0910
12/1989,30,1,8,1,0.1000,0.8000,0.1000
1/1990,25,3,8,1,0.2500,0.6667,0.0834
2/1990,29,2,10,3,0.1334,0.6667,0.2000
3/1990,26,2,6,2,0.2000,0.6000,0.2000
4/1990,29,5,5,2,0.4167,0.4167,0.1667
5/1990,32,4,6,1,0.3637,0.5455,0.0910
6/1990,37,7,6,4,0.4118,0.3530,0.2353
7/1990,27,4,7,1,0.3334,0.5834,0.0834
8/1990,31,2,9,2,0.1539,0.6924,0.1539
9/1990,33,5,14,2,0.2381,0.6667,0.0953
10/1990,29,3,9,0,0.2500,0.7500,0.0000
11/1990,25,6,4,1,0.5455,0.3637,0.0910
12/1990,31,5,5,3,0.3847,0.3847,0.2308
1/1991,33,2,6,4,0.1667,0.5000,0.3334
2/1991,24,2,5,1,0.2500,0.6250,0.1250
3/1991,35,3,10,3,0.1875,0.6250,0.1875
4/1991,26,4,4,0,0.5000,0.5000,0.0000
5/1991,33,2,12,1,0.1334,0.8000,0.0667
6/1991,27,1,7,0,0.1250,0.8750,0.0000
7/1991,26,6,5,0,0.5455,0.4546,0.0000
8/1991,22,3,5,0,0.3750,0.6250,0.0000
9/1991,29,2,10,3,0.1334,0.6667,0.2000
10/1991,29,2,8,0,0.2000,0.8000,0.0000
11/1991,31,6,8,0,0.4286,0.5715,0.0000
12/1991,25,2,8,0,0.2000,0.8000,0.0000
1/1992,26,3,4,1,0.3750,0.5000,0.1250
2/1992,19,0,5,0,0.0000,1.0000,0.0000
3/1992,20,1,9,2,0.0834,0.7500,0.1667
4/1992,20,2,6,1,0.2223,0.6667,0.1112
5/1992,24,4,6,1,0.3637,0.5455,0.0910
6/1992,18,2,4,1,0.2858,0.5715,0.1429
7/1992,22,4,3,0,0.5715,0.4286,0.0000
8/1992,22,2,7,0,0.2223,0.7778,0.0000
9/1992,23,4,4,0,0.5000,0.5000,0.0000
10/1992,27,2,12,2,0.1250,0.7500,0.1250
11/1992,29,8,8,1,0.4706,0.4706,0.0589
12/1992,28,4,7,0,0.3637,0.6364,0.0000
1/1993,28,2,8,1,0.1819,0.7273,0.0910
2/1993,22,4,3,0,0.5715,0.4286,0.0000
3/1993,38,6,8,2,0.3750,0.5000,0.1250
4/1993,29,2,10,2,0.1429,0.7143,0.1429
5/1993,27,2,8,1,0.1819,0.7273,0.0910
6/1993,28,6,8,2,0.3750,0.5000,0.1250
7/1993,25,2,9,2,0.1539,0.6924,0.1539
8/1993,20,0,10,0,0.0000,1.0000,0.0000
9/1993,29,1,8,0,0.1112,0.8889,0.0000
10/1993,39,4,12,2,0.2223,0.6667,0.1112
11/1993,37,6,6,2,0.4286,0.4286,0.1429
12/1993,38,2,14,0,0.1250,0.8750,0.0000
1/1994,55,5,18,3,0.1924,0.6924,0.1154
2/1994,50,4,21,2,0.1482,0.7778,0.0741
3/1994,47,3,17,3,0.1305,0.7392,0.1305
4/1994,47,10,18,2,0.3334,0.6000,0.0667
5/1994,52,7,15,1,0.3044,0.6522,0.0435
6/1994,39,1,13,0,0.0715,0.9286,0.0000
7/1994,54,6,17,3,0.2308,0.6539,0.1154
8/1994,44,4,14,1,0.2106,0.7369,0.0527
9/1994,44,6,14,3,0.2609,0.6087,0.1305
10/1994,57,8,20,1,0.2759,0.6897,0.0345
11/1994,48,2,11,4,0.1177,0.6471,0.2353
12/1994,47,8,13,3,0.3334,0.5417,0.1250
1/1995,52,3,14,3,0.1500,0.7000,0.1500
2/1995,43,2,12,2,0.1250,0.7500,0.1250
3/1995,48,6,11,5,0.2728,0.5000,0.2273
4/1995,51,5,18,2,0.2000,0.7200,0.0800
5/1995,43,4,12,1,0.2353,0.7059,0.0589
6/1995,45,7,11,2,0.3500,0.5500,0.1000
7/1995,48,5,13,0,0.2778,0.7223,0.0000
8/1995,41,5,13,1,0.2632,0.6843,0.0527
9/1995,46,3,14,6,0.1305,0.6087,0.2609
10/1995,65,2,19,1,0.0910,0.8637,0.0455
11/1995,53,8,16,4,0.2858,0.5715,0.1429
12/1995,48,7,15,3,0.2800,0.6000,0.1200
1/1996,53,7,13,3,0.3044,0.5653,0.1305
2/1996,51,8,15,4,0.2963,0.5556,0.1482
3/1996,61,8,23,2,0.2425,0.6970,0.0607
