@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
1/1987,572,27,296,13,0.0804,0.8810,0.0387
2/1987,532,34,270,17,0.1060,0.8412,0.0530
3/1987,621,46,314,17,0.1221,0.8329,0.0451
4/1987,571,39,258,25,0.1212,0.8013,0.0777
5/1987,622,47,300,19,0.1285,0.8197,0.0520
6/1987,557,30,263,19,0.0962,0.8430,0.0609
7/1987,581,32,291,16,0.0944,0.8585,0.0472
8/1987,611,36,255,29,0.1125,0.7969,0.0907
9/1987,556,37,287,15,0.1092,0.8467,0.0443
10/1987,556,29,271,11,0.0933,0.8714,0.0354
11/1987,586,53,285,22,0.1473,0.7917,0.0612
12/1987,564,43,286,19,0.1236,0.8219,0.0546
1/1988,570,32,271,24,0.0979,0.8288,0.0734
2/1988,550,37,289,26,0.1052,0.8211,0.0739
3/1988,579,41,279,21,0.1203,0.8182,0.0616
4/1988,540,48,261,22,0.1451,0.7886,0.0665
5/1988,554,41,270,21,0.1235,0.8133,0.0633
6/1988,527,30,265,17,0.0962,0.8494,0.0545
7/1988,562,30,272,26,0.0915,0.8293,0.0793
8/1988,578,36,291,12,0.1062,0.8585,0.0354
9/1988,543,37,263,17,0.1168,0.8297,0.0537
10/1988,574,52,285,13,0.1486,0.8143,0.0372
11/1988,578,43,280,24,0.1240,0.8070,0.0692
12/1988,563,36,302,22,0.1000,0.8389,0.0612
1/1989,639,38,313,19,0.1028,0.8460,0.0514
2/1989,574,43,291,18,0.1222,0.8268,0.0512
3/1989,623,39,314,16,0.1057,0.8510,0.0434
4/1989,616,59,293,18,0.1595,0.7919,0.0487
5/1989,605,45,290,11,0.1301,0.8382,0.0318
6/1989,560,48,264,18,0.1455,0.8000,0.0546
7/1989,614,37,310,13,0.1028,0.8612,0.0362
8/1989,596,46,291,27,0.1264,0.7995,0.0742
9/1989,568,30,275,21,0.0921,0.8436,0.0645
10/1989,649,47,326,25,0.1181,0.8191,0.0629
11/1989,566,46,288,10,0.1338,0.8373,0.0291
12/1989,604,45,299,12,0.1265,0.8399,0.0338
1/1990,590,51,289,17,0.1429,0.8096,0.0477
2/1990,557,33,281,15,0.1004,0.8542,0.0456
3/1990,598,37,293,20,0.1058,0.8372,0.0572
4/1990,634,50,276,28,0.1413,0.7797,0.0791
5/1990,590,33,276,23,0.0994,0.8314,0.0693
6/1990,603,45,282,21,0.1294,0.8104,0.0604
7/1990,611,50,285,24,0.1393,0.7939,0.0669
8/1990,602,45,307,13,0.1233,0.8411,0.0357
9/1990,694,49,319,25,0.1247,0.8118,0.0637
10/1990,557,33,273,24,0.1000,0.8273,0.0728
11/1990,590,42,290,27,0.1170,0.8078,0.0753
12/1990,651,58,313,13,0.1511,0.8152,0.0339
1/1991,590,36,285,20,0.1056,0.8358,0.0587
2/1991,535,42,249,24,0.1334,0.7905,0.0762
3/1991,634,43,299,16,0.1202,0.8352,0.0447
4/1991,600,50,264,18,0.1507,0.7952,0.0543
5/1991,593,50,276,22,0.1437,0.7932,0.0633
6/1991,609,59,286,30,0.1574,0.7627,0.0800
7/1991,593,48,271,28,0.1384,0.7810,0.0807
8/1991,594,51,267,31,0.1462,0.7651,0.0889
9/1991,584,43,285,19,0.1240,0.8214,0.0548
10/1991,558,49,261,29,0.1446,0.7700,0.0856
11/1991,557,38,281,17,0.1131,0.8364,0.0506
12/1991,586,51,270,18,0.1505,0.7965,0.0531
1/1992,561,45,298,24,0.1227,0.8120,0.0654
2/1992,542,37,272,23,0.1115,0.8193,0.0693
3/1992,593,37,313,23,0.0992,0.8392,0.0617
4/1992,542,38,266,13,0.1199,0.8392,0.0411
5/1992,566,48,249,24,0.1496,0.7758,0.0748
6/1992,539,54,252,15,0.1683,0.7851,0.0468
7/1992,570,46,287,26,0.1282,0.7995,0.0725
8/1992,604,57,259,34,0.1629,0.7400,0.0972
9/1992,541,48,261,17,0.1473,0.8007,0.0522
10/1992,546,28,301,18,0.0807,0.8675,0.0519
11/1992,589,47,293,21,0.1302,0.8117,0.0582
12/1992,540,52,252,27,0.1571,0.7614,0.0816
1/1993,575,54,259,33,0.1561,0.7486,0.0954
2/1993,538,54,246,32,0.1627,0.7410,0.0964
3/1993,553,52,225,27,0.1711,0.7402,0.0889
4/1993,555,57,243,25,0.1754,0.7477,0.0770
5/1993,569,56,257,29,0.1638,0.7515,0.0848
6/1993,551,59,262,28,0.1691,0.7508,0.0803
7/1993,583,47,270,29,0.1359,0.7804,0.0839
8/1993,615,57,270,26,0.1615,0.7649,0.0737
9/1993,530,54,242,20,0.1709,0.7659,0.0633
10/1993,628,64,260,31,0.1803,0.7324,0.0874
11/1993,585,63,260,31,0.1780,0.7345,0.0876
12/1993,563,42,246,25,0.1342,0.7860,0.0799
1/1994,649,54,302,34,0.1385,0.7744,0.0872
2/1994,543,65,235,19,0.2038,0.7367,0.0596
3/1994,581,52,257,26,0.1553,0.7672,0.0777
4/1994,557,48,259,22,0.1459,0.7873,0.0669
5/1994,619,65,281,29,0.1734,0.7494,0.0774
6/1994,552,49,239,33,0.1527,0.7446,0.1029
7/1994,608,62,282,26,0.1676,0.7622,0.0703
8/1994,601,35,267,26,0.1068,0.8141,0.0793
9/1994,582,68,269,21,0.1900,0.7514,0.0587
10/1994,606,51,271,25,0.1470,0.7810,0.0721
11/1994,557,41,270,24,0.1224,0.8060,0.0717
12/1994,562,47,249,22,0.1478,0.7831,0.0692
1/1995,590,56,266,15,0.1662,0.7894,0.0446
2/1995,520,51,208,20,0.1828,0.7456,0.0717
3/1995,600,54,272,26,0.1535,0.7728,0.0739
4/1995,615,52,289,24,0.1425,0.7918,0.0658
5/1995,612,46,270,21,0.1365,0.8012,0.0624
6/1995,604,31,274,24,0.0943,0.8329,0.0730
7/1995,641,38,296,17,0.1083,0.8434,0.0485
8/1995,603,59,278,26,0.1626,0.7659,0.0717
9/1995,558,38,261,15,0.1211,0.8313,0.0478
10/1995,790,54,381,24,0.1177,0.8301,0.0523
11/1995,592,42,285,17,0.1221,0.8285,0.0495
12/1995,632,61,301,16,0.1614,0.7963,0.0424
1/1996,576,65,265,20,0.1858,0.7572,0.0572
2/1996,585,45,279,15,0.1328,0.8231,0.0443
3/1996,619,61,257,24,0.1784,0.7515,0.0702
4/1996,568,42,258,21,0.1309,0.8038,0.0655
5/1996,580,49,253,22,0.1513,0.7809,0.0680
6/1996,631,54,287,25,0.1476,0.7842,0.0684
7/1996,627,57,259,16,0.1717,0.7802,0.0482
8/1996,626,52,299,18,0.1410,0.8103,0.0488
9/1996,657,45,312,22,0.1188,0.8233,0.0581
10/1996,656,51,334,18,0.1266,0.8288,0.0447
11/1996,641,48,275,20,0.1400,0.8018,0.0584
12/1996,651,57,283,24,0.1566,0.7775,0.0660
1/1997,691,49,304,23,0.1304,0.8086,0.0612
2/1997,609,45,271,16,0.1356,0.8163,0.0482
3/1997,686,49,296,24,0.1328,0.8022,0.0651
4/1997,694,42,328,30,0.1050,0.8200,0.0750
5/1997,702,83,267,31,0.2179,0.7008,0.0814
6/1997,724,53,289,24,0.1449,0.7897,0.0656
7/1997,724,55,295,25,0.1467,0.7867,0.0667
8/1997,715,66,265,31,0.1824,0.7321,0.0857
9/1997,678,62,248,25,0.1851,0.7403,0.0747
10/1997,693,48,265,32,0.1392,0.7682,0.0928
11/1997,729,57,277,26,0.1584,0.7695,0.0723
12/1997,688,60,258,32,0.1715,0.7372,0.0915
1/1998,668,59,269,31,0.1644,0.7494,0.0864
2/1998,643,48,271,32,0.1368,0.7721,0.0912
3/1998,785,62,341,34,0.1419,0.7804,0.0779
4/1998,744,56,295,28,0.1478,0.7784,0.0739
5/1998,697,48,288,31,0.1308,0.7848,0.0845
6/1998,589,45,259,19,0.1394,0.8019,0.0589
7/1998,633,53,265,29,0.1528,0.7637,0.0836
8/1998,658,60,295,24,0.1584,0.7784,0.0634
9/1998,656,50,323,23,0.1263,0.8157,0.0581
10/1998,691,54,314,23,0.1382,0.8031,0.0589
11/1998,675,69,322,19,0.1683,0.7854,0.0464
12/1998,731,44,340,28,0.1068,0.8253,0.0680
1/1999,681,48,311,26,0.1247,0.8078,0.0676
2/1999,648,42,275,34,0.1197,0.7835,0.0969
3/1999,678,45,284,17,0.1301,0.8209,0.0492
4/1999,672,35,282,12,0.1064,0.8572,0.0365
5/1999,695,50,270,27,0.1441,0.7781,0.0779
6/1999,649,40,268,28,0.1191,0.7977,0.0834
7/1999,655,52,257,25,0.1557,0.7695,0.0749
8/1999,677,55,250,24,0.1672,0.7599,0.0730
9/1999,625,52,244,25,0.1620,0.7602,0.0779
10/1999,771,51,299,23,0.1368,0.8017,0.0617
11/1999,780,63,325,20,0.1545,0.7966,0.0491
12/1999,737,56,268,34,0.1565,0.7487,0.0950
1/2000,819,49,346,31,0.1151,0.8123,0.0728
2/2000,739,45,303,16,0.1237,0.8325,0.0440
3/2000,760,47,312,23,0.1231,0.8168,0.0603
4/2000,765,50,296,26,0.1345,0.7957,0.0699
5/2000,747,46,303,19,0.1250,0.8234,0.0517
6/2000,728,65,264,28,0.1821,0.7395,0.0785
7/2000,805,59,311,31,0.1472,0.7756,0.0774
8/2000,734,41,316,17,0.1097,0.8450,0.0455
9/2000,692,50,269,28,0.1441,0.7753,0.0807
10/2000,750,67,314,27,0.1643,0.7697,0.0662
11/2000,722,38,282,22,0.1112,0.8246,0.0644
12/2000,718,50,285,17,0.1421,0.8097,0.0483
1/2001,752,49,340,23,0.1190,0.8253,0.0559
2/2001,660,43,267,25,0.1284,0.7971,0.0747
3/2001,680,37,288,22,0.1067,0.8300,0.0635
4/2001,722,46,299,11,0.1293,0.8399,0.0309
5/2001,670,44,303,11,0.1230,0.8464,0.0308
